Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Weather_Description,Work_Suitability,Flood_Risk
"Hazira, Gujarat",2024-01-14 21:12:46,34.21,61.22,4.02011871570867,11.09,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2024-05-17 15:22:10,35.17,45.8,9.111623448229375,15.16,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",2024-05-11 09:30:59,25.11,82.26,4.607511377146035,24.09,Moderate Rainfall,Yes,High
"Jagdishpur, Uttar Pradesh",2024-02-26 17:32:39,29.42,49.94,3.183719747807655,24.45,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2024-04-29 13:23:51,39.23,60.0,9.598282136749663,24.9,Heavy Rainfall,No,High
"Bijaipur, Madhya Pradesh",2024-01-21 08:54:56,28.75,38.78,9.166543302732745,15.07,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2024-01-13 02:10:54,18.01,68.38,0.2217090431972102,9.74,Clear,Yes,Low
"Kochi, Kerala",2024-01-25 19:04:34,25.76,92.0,8.027623514181629,6.71,Heavy Rainfall,No,High
"Kota, Rajasthan",2024-03-29 05:20:30,31.12,33.12,3.640129168740153,6.1,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-05-18 09:14:02,24.31,53.01,4.101492971518511,12.94,Moderate Rainfall,Yes,High
"Indore, Madhya Pradesh",2024-03-04 13:47:15,37.24,43.09,8.349194966148637,12.31,Heavy Rainfall,No,High
"Gandhar, Gujarat",2024-03-07 22:03:36,27.03,69.55,3.760004186158032,12.75,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-02-27 21:07:10,32.016897607941914,53.1943706422686,3.552671054425888,3.050196385564252,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-05-09 00:53:10,38.64126926406863,85.95272555594032,0.4707818426036259,20.77926401089995,Other,Yes,Low
Delhi,2024-05-12 15:57:55,39.66677191836734,72.74702581150828,1.2637221588915803,6.479492097370642,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",2024-03-09 01:51:24,28.290114688292803,35.2391696910979,9.347204732507423,14.06676464016529,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",2024-02-10 15:05:28,16.349789500368708,65.81260731013612,0.1090902177262231,6.597039039560281,Clear,Yes,Low
"Raipur, Chhattisgarh",2024-01-06 02:59:46,26.78681109139223,31.51361442291757,0.496024001203168,22.98009530460454,Clear,Yes,Low
"Hazira, Gujarat",2024-01-25 12:59:32,29.16,45.61,0.2121426871714793,15.9,Clear,Yes,Low
"Vijaipur, Madhya Pradesh",2024-02-19 12:26:07,39.73,59.83,1.905730596808868,28.01,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2024-02-14 04:43:05,32.63,75.86,9.250558827213627,12.6,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",2024-04-22 03:13:26,32.31,57.2,3.583559549270228,5.53,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2024-01-11 02:53:59,31.69,54.94,4.072880333901243,12.05,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-03-05 21:38:36,35.13,59.3,7.066381499617146,15.93,Heavy Rainfall,No,Low
"Pata, Uttar Pradesh",2024-03-27 10:44:36,27.74,51.88,9.693765836797496,4.37,Heavy Rainfall,No,High
"Kochi, Kerala",2024-02-08 20:45:03,31.83,72.75,6.90661415717292,13.05,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",2024-01-04 21:41:10,38.15,45.52,3.3427646873902006,8.92,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-02-15 20:47:24,27.51,60.97,4.550642656193359,10.72,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2024-02-02 02:17:13,22.39,44.3,5.473386906173373,16.38,Moderate Rainfall,Yes,High
"Gandhar, Gujarat",2024-02-22 14:16:18,30.75,58.06,4.809864948521256,14.92,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-04-16 00:07:29,17.587820198810913,32.81792253646568,0.1288031166572967,0.2341464002139759,Clear,Yes,Low
"Mumbai, Maharashtra",2024-02-29 23:17:01,7.63037682806306,33.5236106765015,2.4627477926826624,13.23269632825726,Moderate Rainfall,Yes,Low
Delhi,2024-04-20 09:34:59,0.3513732574871788,88.01515668253387,1.7953744815661044,21.66546591825598,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",2024-03-22 02:34:26,17.439494910085937,56.21016081308783,9.728970819941186,9.497026568051362,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",2024-03-16 23:47:55,23.405680835584207,78.91450560409442,7.767704375255718,3.67579206323228,Heavy Rainfall,No,High
"Raipur, Chhattisgarh",2024-01-29 07:08:28,1.5126267854927455,89.41784602344461,5.210117250806438,7.332915455113817,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",2024-04-01 03:12:48,-2.562659564252881,30.35659268680612,2.624327940593112,2.601357172764515,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2024-04-21 10:17:28,8.863085501621878,71.49254432410874,4.878106976166015,21.90418631416185,Moderate Rainfall,Yes,Low
